lambda,clip_score
,
0.0,20.980392156862745
0.1,21.07843137254902
0.2,20.980392156862745
0.3,21.01960784313725
0.4,20.84313725490196
0.5,21.09803921568628
0.6000000000000001,20.980392156862745
0.7000000000000001,20.980392156862745
0.8,20.823529411764707
0.9,21.09803921568628
1.0,20.94117647058824
0.0,0.0
0.0,0.0
0.0,18.0625
0.1,18.90625
0.2,18.75
0.3,16.65625
0.4,18.296875
0.5,16.59375
0.6000000000000001,16.78125
0.7000000000000001,16.984375
0.8,18.5
0.9,18.71875
1.0,18.96875
0.0,19.40625
0.1,20.90625
0.2,20.234375
0.3,20.78125
0.4,21.4375
0.5,20.40625
0.6000000000000001,21.4375
0.7000000000000001,20.40625
0.8,20.03125
0.9,19.75
1.0,20.5625
0.0,20.40625
0.1,20.09375
0.2,19.9375
0.3,20.78125
0.4,21.53125
0.5,20.125
0.6000000000000001,19.625
0.7000000000000001,20.0625
0.8,19.5
0.9,19.9375
1.0,20.5625
0.0,20.125
0.1,21.859375
0.2,20.078125
0.3,21.1875
0.4,20.421875
0.5,20.1875
0.6000000000000001,20.1875
0.7000000000000001,19.75
0.8,21.09375
0.9,20.65625
1.0,20.75
0.0,18.4375
0.1,18.4375
0.2,18.859375
0.3,18.328125
0.4,18.21875
0.5,18.109375
0.6000000000000001,18.09375
0.7000000000000001,18.6875
0.8,19.125
0.9,19.0625
1.0,19.0
0.0,20.125
0.1,21.859375
0.2,20.078125
0.3,21.1875
0.4,20.421875
0.5,20.1875
0.6000000000000001,20.1875
0.7000000000000001,19.75
0.8,21.09375
0.9,20.65625
1.0,20.75
0.0,18.625
0.1,19.4375
0.2,16.109375
0.30000000000000004,18.8125
0.4,19.375
0.5,19.953125
0.6000000000000001,19.65625
0.7000000000000001,20.5
0.8,20.390625
0.9,20.0
1.0,19.953125
